name,type_cn,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
松材线虫病,疾病,0.6724137931034483,0.3236604714198928,0.7345798931520156,0.18774026515500017
松材线虫,病原体,0.6206896551724138,0.10425569534851559,0.7047996272134203,0.26833328628587366
日本星天牛,传播媒介,0.603448275862069,0.07501846993321823,0.6954022988505747,0.28141721377206086
黑松,宿主,0.5689655172413793,0.044358779898440406,0.6438910174542358,0.27020350934806825
湿地松,宿主,0.5,0.02943641651872675,0.6135902636916836,0.251545760093351
叶片,症状,0.5,0.04198095316958853,0.6438910174542358,0.24773525087507742
马尾松,宿主,0.48275862068965514,0.026075477699530232,0.6064554931836408,0.24709667310715852
栎林星天牛,传播媒介,0.4482758620689655,0.017159877268503296,0.5608083055246571,0.23618685844320214
松材线虫相关细菌,病原体,0.3793103448275862,0.016437468416911932,0.5926724137931034,0.21269946902532735
巴山,地点,0.3448275862068966,0.02827340243177196,0.5731337627889351,0.1702172946284243
诱捕器,防控措施,0.3448275862068966,0.01425950885665281,0.5731337627889351,0.1947296557674588
泰山风景区,地点,0.3275862068965517,0.05809511047356114,0.566904047976012,0.12609001655003307
天柱峰,地点,0.29310344827586204,0.0033573976071574023,0.49202992843201043,0.17467074170741245
哨兵-2卫星,技术,0.24137931034482757,0.022166798238800727,0.5432830459770115,0.13697164359562802
无人机高光谱数据,技术,0.24137931034482757,0.028378991084921205,0.5432830459770115,0.13618804498571788
防控,防控措施,0.22413793103448276,0.0009580786541336736,0.5321956368754398,0.1537293756921549
疫区,地点,0.22413793103448276,0.0009580786541336736,0.5321956368754398,0.1537293756921549
生物防控,防控措施,0.22413793103448276,0.0009580786541336736,0.5321956368754398,0.1537293756921549
分布区,地点,0.22413793103448276,0.0009580786541336736,0.5321956368754398,0.1537293756921549
叶片高光谱数据,技术,0.20689655172413793,0.00982913298798293,0.5321956368754398,0.1340780457927095
吉丁虫科,其他,0.1896551724137931,0.0,0.46155019835215133,0.12875211422278554
玉泉庙,地点,0.1896551724137931,0.0,0.4535232383808096,0.12047738929887117
竹林庙,地点,0.1896551724137931,0.0,0.4535232383808096,0.12047738929887117
南天门,地点,0.1896551724137931,0.0,0.4535232383808096,0.12047738929887117
白蚁科,其他,0.1896551724137931,0.0,0.46155019835215133,0.12875211422278554
天牛科,其他,0.1896551724137931,0.0,0.46155019835215133,0.12875211422278554
桃花谷,地点,0.1896551724137931,0.0,0.4535232383808096,0.12047738929887117
林地,宿主,0.15517241379310345,0.0001592001783041997,0.5113252197430697,0.09140687440731424
古树,宿主,0.15517241379310345,0.0001592001783041997,0.5113252197430697,0.09140687440731424
华山松,宿主,0.15517241379310345,0.0001592001783041997,0.5113252197430697,0.09140687440731424
温带落叶阔叶林,宿主,0.15517241379310345,0.0034518593239579007,0.5113252197430697,0.08718687572157363
白皮松,宿主,0.15517241379310345,0.0001592001783041997,0.5113252197430697,0.09140687440731425
褐色鞘翅虫,传播媒介,0.13793103448275862,8.642295393656556e-05,0.44961355529131986,0.09975812713311719
西伯利亚星天牛,传播媒介,0.12068965517241378,0.0,0.44577070439139405,0.0877058951055797
吉林省,地点,0.10344827586206896,0.0,0.4967159277504105,0.058228600294830256
黑龙江省,地点,0.10344827586206896,0.0,0.4967159277504105,0.058228600294830256
传播媒介天牛,传播媒介,0.10344827586206896,0.0,0.44199298655756863,0.08360457726997517
栎林,宿主,0.08620689655172414,0.0005585192518041883,0.47413793103448276,0.03425240379982195
松林,宿主,0.08620689655172414,0.00040095264686916234,0.49202992843201043,0.03976814338234149
混交林,宿主,0.08620689655172414,0.0005585192518041883,0.47413793103448276,0.03425240379982195
江西省,地点,0.06896551724137931,0.0,0.4275014132278123,0.012037535351728352
元宝枫林,宿主,0.06896551724137931,0.0,0.438278759779774,0.02055965380291711
全南县,地点,0.06896551724137931,0.0,0.4275014132278123,0.012037535351728353
气象因素,环境因素,0.06896551724137931,0.0,0.4275014132278123,0.012037535351728352
赤松,宿主,0.06896551724137931,0.0048086998151052815,0.47413793103448276,0.032774543759935146
德兴市,地点,0.06896551724137931,0.0,0.4275014132278123,0.012037535351728352
华北植被,其他,0.06896551724137931,0.0,0.46155019835215133,0.02607539338543665
红光波段,技术,0.05172413793103448,0.00015124016938898973,0.35479709125029324,0.01645099954049395
单株尺度,宿主,0.05172413793103448,0.0,0.44199298655756863,0.024784086703597455
病虫害风险分析,技术,0.05172413793103448,0.0,0.43462643678160917,0.017834900999655467
冷胁迫,环境因素,0.05172413793103448,0.0,0.43462643678160917,0.017834900999655467
高海拔地区,地点,0.05172413793103448,0.0,0.43462643678160917,0.017834900999655467
衰弱松树,宿主,0.05172413793103448,0.0,0.4829182630906769,0.032008355745907435
低海拔地区,地点,0.05172413793103448,0.0,0.43462643678160917,0.017834900999655467
高光谱成像,技术,0.034482758620689655,0.0,0.034482758620689655,4.216676634861053e-12
松材线虫病早期检测,技术,0.034482758620689655,0.0,0.034482758620689655,4.216676634861053e-12
红边波段,技术,0.034482758620689655,0.0,0.034482758620689655,4.216676634861053e-12
波段选择算法,技术,0.034482758620689655,0.0,0.438278759779774,0.01741872849235923
一阶导数光谱,技术,0.034482758620689655,0.0,0.43462643678160917,0.01730526205920647
