subject	predicate	object	subject_type	object_type	confidence
松材线虫病	affectedBy	日照	Disease	EnvironmentalFactor	0.7
松材线虫病	affectedBy	海拔	Disease	EnvironmentalFactor	0.7
松材线虫病	affectedBy	湿度	Disease	EnvironmentalFactor	0.7
松材线虫病	controlledBy	化学防治	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	检疫	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	清理病死树	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	焚烧	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	熏蒸	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	生物防治	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	监测	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	营林措施	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	诱捕器	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	除害处理	Disease	ControlMeasure	0.65
松材线虫病	controlledBy	隔离带	Disease	ControlMeasure	0.65
松材线虫病	hasHost	云南松	Disease	Host	0.8
松材线虫病	hasHost	华山松	Disease	Host	0.8
松材线虫病	hasHost	思茅松	Disease	Host	0.8
松材线虫病	hasHost	日本黑松	Disease	Host	0.8
松材线虫病	hasHost	樟子松	Disease	Host	0.8
松材线虫病	hasHost	油松	Disease	Host	0.8
松材线虫病	hasHost	湿地松	Disease	Host	0.8
松材线虫病	hasHost	火炬松	Disease	Host	0.8
松材线虫病	hasHost	白皮松	Disease	Host	0.8
松材线虫病	hasHost	红松	Disease	Host	0.8
松材线虫病	hasHost	赤松	Disease	Host	0.8
松材线虫病	hasHost	马尾松	Disease	Host	0.8
松材线虫病	hasHost	黑松	Disease	Host	0.8
松材线虫病	hasPathogen	松材线虫	Disease	Pathogen	0.95
松材线虫病	hasSymptom	整株枯死	Disease	Symptom	0.8
松材线虫病	hasSymptom	材色变化	Disease	Symptom	0.8
松材线虫病	hasSymptom	枝条枯萎	Disease	Symptom	0.8
松材线虫病	hasSymptom	枯死	Disease	Symptom	0.9
松材线虫病	hasSymptom	树干失水	Disease	Symptom	0.8
松材线虫病	hasSymptom	树脂分泌停止	Disease	Symptom	0.8
松材线虫病	hasSymptom	萎蔫	Disease	Symptom	0.8
松材线虫病	hasSymptom	蓝变	Disease	Symptom	0.8
松材线虫病	hasSymptom	针叶变色	Disease	Symptom	0.8
松材线虫病	hasSymptom	针叶褐变	Disease	Symptom	0.8
松材线虫病	hasSymptom	针叶黄化	Disease	Symptom	0.8
松材线虫病	hasVector	天牛	Disease	Vector	0.7
松材线虫病	hasVector	松褐天牛	Disease	Vector	0.95
松材线虫病	occursIn	中国	Disease	Region	0.72
松材线虫病	occursIn	泰山	Disease	Region	0.72
